Date,Department,Project,Cost Center,Manager,Budget (USD),Actual Spend (USD),Variance (USD),Performance Score,Headcount,ROI (%)
05/15/2024,Data Analytics,Data Warehouse,IT1004,Carol White,426087,205159,220928,1.8,34,0.8
02/02/2024,Data Analytics,Cloud Migration,IT1005,David Brown,95095,125699,-30604,7.8,17,0.16
10/19/2024,Data Analytics,Customer Support Portal,IT1005,Carol White,195342,439757,-244415,1.5,46,0.1
06/09/2024,Data Analytics,Cloud Migration,IT1003,Eva Green,69991,178505,-108514,5.8,12,0.98
04/14/2024,Data Analytics,Data Warehouse,IT1003,Bob Johnson,172808,156545,16263,7.8,35,0.55
04/03/2024,Data Analytics,Customer Support Portal,IT1001,David Brown,480942,410250,70692,1.5,46,0.04
06/19/2024,Data Analytics,Cloud Migration,IT1005,Eva Green,99976,460165,-360189,6.8,21,0.96
07/09/2024,Data Analytics,Upgrade Network,IT1002,Eva Green,258859,341276,-82417,3.4,23,0.64
04/24/2024,Data Analytics,Upgrade Network,IT1004,Carol White,266101,450014,-183913,9.9,26,0.9
03/04/2024,Data Analytics,Security Audit,IT1001,Bob Johnson,242029,155945,86084,4.7,39,0.22
08/05/2024,Data Analytics,Data Warehouse,IT1002,Alice Smith,377602,227655,149947,9.4,43,-0.02
01/31/2024,Data Analytics,Security Audit,IT1004,Alice Smith,369759,415309,-45550,8.8,42,0.01
02/20/2024,Data Analytics,Customer Support Portal,IT1005,David Brown,119087,72101,46986,3.5,8,0
10/22/2024,Data Analytics,Security Audit,IT1002,David Brown,324441,42775,281666,7.9,43,0.76
12/05/2024,Data Analytics,Upgrade Network,IT1001,Alice Smith,339272,480399,-141127,7.2,39,-0.1
08/30/2024,Data Analytics,Data Warehouse,IT1001,Carol White,454372,359268,95104,2.2,33,0.46
06/26/2024,Data Analytics,Customer Support Portal,IT1004,Carol White,475061,66616,408445,8.6,49,0.6
02/12/2024,Data Analytics,Cloud Migration,IT1004,Carol White,446016,462871,-16855,1.4,32,0.8
05/18/2024,Data Analytics,Develop CRM,IT1005,Alice Smith,248522,213115,35407,5.9,34,0.91
02/26/2024,Data Analytics,Upgrade Network,IT1003,Alice Smith,325194,287908,37286,1.6,48,0.48
02/08/2024,Data Analytics,Cloud Migration,IT1004,Eva Green,478276,189886,288390,3.6,2,0.34
05/31/2024,Data Analytics,Customer Support Portal,IT1002,Alice Smith,75675,399046,-323371,8.1,21,0.18
09/14/2024,Data Analytics,Cloud Migration,IT1003,Alice Smith,387369,393551,-6182,7,3,0.33
12/27/2024,Data Analytics,Data Warehouse,IT1005,David Brown,179887,85541,94346,7.6,11,0.33
03/27/2024,Data Analytics,Cloud Migration,IT1002,Eva Green,383713,190655,193058,6,22,0.43
05/16/2024,Data Analytics,Customer Support Portal,IT1004,Alice Smith,353472,193837,159635,4.1,48,0.77
02/16/2024,Data Analytics,Develop CRM,IT1005,Alice Smith,336762,407122,-70360,1.8,49,0.43
08/02/2024,Data Analytics,Data Warehouse,IT1005,Carol White,331063,337247,-6184,9.3,11,0.12
03/05/2024,Data Analytics,Customer Support Portal,IT1002,Eva Green,489030,327710,161320,1,39,0.54
07/28/2024,Data Analytics,Data Warehouse,IT1002,Alice Smith,120533,413350,-292817,3.3,9,0.23
12/30/2024,Data Analytics,Cloud Migration,IT1001,David Brown,368552,126694,241858,10,12,0.3
09/06/2024,Data Analytics,Cloud Migration,IT1005,David Brown,377031,366873,10158,7.1,9,0.42
